Date,Fail Txs,2KEY,ABYSS,ADA,AKRO,ALGO,ALPHA,AMPL,ANT,AST,ATOM,AUD,BAL,BAND,BAT,BCH,BETH,BLZ,BNB,BNT,BRL,BSV,BTC,BTCB,BTG,BTM,BTS,BTT,BTU,BUSD,BZRX,CAD,CAKE,CAN,CHF,CKB,CND,CNY,COMP,CREAM,CRO,CRV,CVC,DAI,DASH,DCR,DGB,DGX,DIA,DOGE,DOT,EGLD,ELF,ENJ,EOS,EQUAD,ETC,ETH,EUR,EURS,EWT,FET,FIL,FNX,FOR,FTM,FTT,FXC,GBP,GDC,GEN,GHT,GNO,GVT,HBAR,HKD,HNT,HOT,HT,ICX,INR,IOST,IOTX,JPY,JST,KAI,KAVA,KDA,KEY,KMD,KNC,KRW,KSM,LEND,LEO,LINA,LINK,LOOM,LRC,LSK,LTC,LUNA,MANA,MATIC,MCO,MET,MFG,MIOTA,MKR,MLN,MNT,MTL,MYB,NEO,NEXXO,NMR,NOK,NPXS,NXM,NZD,OCEAN,OGN,OKB,OMG,ONE,ONT,ORN,OST,PAX,PAXG,PAY,PBTC,PLR,PLTC,PNK,PNT,POLY,POWR,QKC,QNT,RAE,REN,RENBTC,REP,REQ,RLC,RMB,RSR,RSV,RUB,RUNE,SAN,SC,SGD,SNT,SNX,SOL,SPIKE,SPN,SRM,STMX,STORJ,STX,SUSD,SUSHI,SXP,THETA,TKN,TKX,TOMO,TRB,TRX,TRYB,TUSD,TWT,UBT,UNI,UOS,UPP,USDC,USDS,USDT,VET,VIDT,WAN,WAVES,WBTC,WNXM,WRX,XAG,XAU,XBCI,XDR,XEM,XLCI,XLM,XMR,XRP,XTZ,XVS,XZC,YAMV2,YFI,YFII,YFV,ZEC,ZRX
2021-04-01,0,8,1,1295,2,1,31,1,1,1,28,1,1,44,1,33,1295,2,1295,1,1,1,1295,1295,2,1,1,2,1,24,1,1,32,23,1,1,2,1,1,47,1,1,1,24,1,1,1,1,1,4,1295,1,1,1,45,1,1,1295,1296,1,1,1,70,1,2,2,1,1,1,5,1,1,1,2,1,1,13,12,1,1,1,1,1,1296,1,1,2,1,1,1,1,1,1,1,1,1294,1295,1,1,1,26,1,1,1,1,1,15,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,23,1,1,1,1,1,1295,1,1,33,1,1294,12,1,24,1,23,1294,1,1,1,1,1,3,1296,1296,1295,1,1,1295,1295,1,1295,43,41,1,4,1295,2,1,1,1
2021-04-02,0,1,8,1293,1,1,29,2,2,2,27,1,1,28,2,27,1293,1,1293,1,1,1,1293,1293,1,1,3,2,5,24,1,1,38,24,1,1,1,1,1,36,1,1,3,24,1,1,1,1,1,1,1293,2,1,1,39,23,1,1293,1293,1,1,1,52,1,2,1,1,1,1,1,1,1,1,3,1,1,13,15,1,1,1,1,1,1293,1,1,1,1,1,1,1,1,1,1,1,1293,1293,3,1,1,30,1,0,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,4,1,6,1,1,1,1,24,1,0,1,1,1,1293,0,1,31,1,1293,12,8,24,1,24,1293,2,1,2,1,1,10,1293,1293,1293,1,1,1293,1293,1,1293,35,46,1,3,1293,1,1,1,1
2021-04-03,0,1,3,1298,1,1,42,2,1,1,44,1,1,49,1,30,1298,1,1298,1,1,1,1298,1298,2,1,1,1,1,24,1,1,38,24,1,2,2,1,1,45,1,2,1,23,1,1,1,1,2,1,1298,1,1,1,48,6,2,1298,1297,1,1,1,39,1,1,2,1,1,1,1,2,1,1,1,2,1,18,16,1,1,1,2,3,1297,2,1,2,1,5,1,3,1,2,1,1,1297,1298,1,2,2,33,1,1,1,1,1,15,1,2,2,1,2,5,1,1,1,1,3,1,1,1,1,1,1,1,2,12,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,3,1,2,9,1,3,2,1,1,1,1,24,1,1,1,1,2,1298,1,1,36,1,1297,12,7,24,1,24,1297,1,1,1,1,1,2,1297,1297,1298,1,1,1298,1298,1,1298,37,48,1,2,1298,2,1,1,1
2021-04-04,0,3,1,1332,1,1,31,1,1,1,30,1,1,35,1,26,1332,1,1332,1,1,1,1332,1332,1,1,2,4,1,23,1,1,33,24,1,1,1,1,2,44,1,1,1,24,1,1,2,1,1,1,1332,1,1,1,34,1,1,1332,1332,1,1,1,37,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,1,1,1,1,1332,1,1,1,1,2,1,1,1,1,1,1,1332,1332,4,1,1,24,1,2,1,20,1,12,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,2,1,1,14,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,23,1,1,1,1,2,1332,1,1,61,1,1332,12,18,23,1,23,1332,1,2,1,1,1,12,1332,1332,1332,1,1,1332,1332,1,1332,29,36,1,1,1332,1,1,1,1
2021-04-05,0,2,3,1423,1,1,38,1,1,1,30,1,1,40,1,34,1423,2,1423,1,1,1,1423,1423,2,2,5,3,3,24,1,1,34,23,1,1,1,1,1,34,1,1,1,24,1,1,1,1,1,1,1423,1,3,1,49,1,1,1423,1423,1,1,1,29,1,1,1,1,1,1,2,1,1,1,2,1,1,12,14,1,1,1,1,1,1423,3,1,1,1,1,1,1,1,1,1,1,1422,1423,1,1,1,32,1,1,1,10,1,13,1,1,1,1,2,4,1,1,2,1,1,1,1,1,3,1,1,1,1,11,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,11,2,1,6,1,13,1,1,24,1,1,1,1,1,1423,1,1,58,2,1422,12,5,24,3,24,1423,1,2,1,1,1,6,1423,1423,1422,1,1,1422,1423,1,1423,56,39,1,5,1422,1,1,1,1
2021-04-06,0,3,1,1420,1,1,41,1,3,1,38,1,1,43,2,38,1420,1,1419,1,1,1,1420,1420,12,1,1,5,1,23,2,1,41,24,1,2,1,1,1,39,1,1,1,22,1,1,1,1,1,1,1420,1,1,1,46,2,1,1420,1419,1,1,1,30,1,1,3,1,1,1,5,1,1,1,1,1,1,16,20,1,1,1,1,1,1419,2,1,1,2,1,1,1,1,1,1,1,1420,1420,1,1,1,50,1,1,1,1,1,13,1,1,1,1,1,3,1,1,1,1,2,1,1,1,6,1,2,2,1,13,1,1,1,1,1,9,1,3,2,13,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,2,1,2,1,1,24,1,1,1,1,1,1419,1,1,44,2,1420,12,17,23,3,23,1421,1,1,1,1,1,3,1419,1419,1419,1,2,1419,1419,1,1420,56,45,1,6,1421,1,1,1,1
2021-04-07,0,3,1,1419,3,1,45,1,1,3,47,1,2,56,1,43,1419,2,1419,1,1,1,1419,1419,12,2,2,1,1,24,4,1,57,24,1,1,1,1,1,51,1,1,2,24,1,1,1,1,1,1,1419,1,2,3,53,1,1,1419,1419,1,1,1,53,2,1,3,1,3,1,9,1,1,1,1,1,1,13,16,2,1,1,1,2,1419,1,1,2,1,1,8,1,1,2,1,1,1419,1419,2,1,4,47,1,2,2,2,1,12,1,1,1,1,2,3,2,1,1,1,3,1,1,1,3,1,3,3,2,11,1,1,1,1,1,3,1,3,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,3,2,1,3,1,1,23,4,1,1,1,1,1419,1,1,45,1,1419,13,7,24,1,24,1419,2,1,2,1,1,9,1419,1419,1349,1,1,1349,1419,0,1419,57,58,1,1,1419,3,1,2,2
2021-04-08,0,2,1,1419,1,1,32,1,1,1,29,1,1,32,1,27,1419,1,1419,1,1,1,1419,1419,3,1,1,1,1,24,1,1,57,22,1,1,2,1,1,30,1,1,1,24,1,1,1,1,1,1,1419,1,1,1,31,4,1,1419,1417,1,1,1,35,1,1,1,1,2,1,3,2,1,1,3,1,1,12,12,1,1,1,1,1,1417,1,1,1,2,1,2,1,1,1,1,1,1419,1419,1,1,1,28,1,1,1,4,1,14,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,12,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,2,2,1,1,1,24,1,1,1,1,1,1419,1,1,36,1,1419,12,4,24,1,24,1419,1,1,2,1,1,1,1417,1417,1419,1,1,1419,1419,1,1419,35,43,1,3,1419,1,1,1,1
2021-04-09,0,4,5,1423,1,1,27,1,1,1,28,1,1,32,3,27,1423,1,1423,1,1,1,1423,1423,3,1,1,2,5,23,1,1,47,24,1,1,1,1,1,40,1,1,1,24,1,1,1,1,1,1,1423,1,2,3,29,3,1,1423,1423,1,1,1,36,1,4,1,1,1,1,1,10,1,1,1,1,1,11,12,1,1,1,1,1,1423,1,1,1,3,1,1,1,1,1,1,1,1423,1423,1,1,1,24,1,1,1,6,1,12,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,13,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,10,1,2,1,1,1,1,1,24,1,1,1,1,2,1423,1,1,29,1,1423,11,1,23,1,23,1423,1,2,4,1,1,1,1423,1423,1423,1,1,1423,1423,1,1423,34,43,1,1,1423,1,1,1,3
2021-04-10,0,5,1,1419,1,1,34,1,1,1,30,1,1,33,1,31,1419,1,1419,1,1,1,1419,1419,2,1,1,1,2,24,1,1,54,24,1,1,1,1,1,29,1,1,1,23,1,1,1,1,1,1,1419,1,4,1,33,2,2,1419,1419,1,1,1,36,1,4,1,1,3,1,2,5,1,1,1,1,1,14,14,1,1,1,1,1,1419,1,2,1,5,1,1,2,1,1,1,1,1419,1419,1,1,1,38,1,1,1,2,2,12,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,12,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,23,1,1,1,1,1,1419,1,1,33,1,1419,12,5,24,1,24,1419,1,1,1,1,1,2,1419,1419,1419,1,1,1419,1419,1,1419,40,40,0,1,1419,1,1,1,1
2021-04-11,0,1,1,1421,1,1,30,1,1,1,31,1,1,33,1,31,1421,1,1421,1,1,1,1421,1421,1,1,1,1,3,24,1,1,43,24,1,2,1,1,1,28,1,1,2,24,1,1,1,1,1,2,1421,1,1,1,34,2,1,1421,1421,1,1,1,29,1,1,1,1,2,1,2,1,1,1,2,1,1,12,14,1,1,1,2,1,1421,1,1,1,1,2,1,1,1,1,1,1,1422,1421,1,1,1,34,1,1,1,6,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,24,1,1,1,1,1,1421,1,1,46,1,1422,12,1,24,1,24,1422,1,4,1,1,1,1,1421,1421,1422,1,1,1422,1421,2,1421,32,37,1,1,1421,0,1,1,1
2021-04-12,0,1,1,1422,1,1,34,1,1,2,33,1,1,36,1,26,1422,1,1423,1,1,1,1422,1422,1,1,1,1,4,24,1,1,63,23,1,1,1,1,1,35,1,1,1,24,1,1,1,1,1,1,1422,2,1,1,30,7,1,1422,1420,1,1,1,31,1,3,1,1,1,1,4,2,1,1,2,1,1,12,12,1,1,1,1,1,1420,1,1,1,1,1,1,1,1,1,2,1,1420,1422,1,1,1,31,1,2,1,5,1,14,1,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,24,1,1,1,1,1,1423,1,1,55,1,1420,12,1,24,1,24,1423,1,1,1,1,1,1,1420,1420,1422,1,1,1422,1423,1,1422,28,99,1,2,1423,1,1,2,1
2021-04-13,0,3,1,1420,1,1,29,2,1,1,36,1,1,35,1,32,1420,1,1419,1,1,1,1420,1420,1,1,1,1,5,23,1,1,54,24,1,1,2,1,1,37,1,1,1,23,1,1,1,1,2,3,1420,1,1,1,35,1,1,1420,1422,1,1,1,32,1,4,1,1,2,1,2,1,1,1,1,2,1,12,12,1,1,1,2,1,1422,1,1,1,1,1,1,1,1,1,1,1,1420,1420,1,1,1,30,2,1,1,3,1,13,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,1,1,1,1,1,1,23,1,1,1,1,1,1419,1,1,37,1,1420,12,4,23,1,23,1420,1,2,1,1,1,2,1422,1422,1421,1,1,1421,1419,1,1420,31,94,1,1,1420,1,1,1,1
2021-04-14,0,2,2,1405,0,1,39,1,1,1,50,1,2,37,1,42,1405,1,1405,1,1,2,1405,1405,1,2,1,1,7,24,2,1,40,23,1,1,1,1,1,28,1,1,1,23,1,1,4,1,1,9,1405,1,1,1,43,1,1,1405,1406,1,1,1,37,2,1,1,1,2,1,11,0,1,1,3,1,1,12,12,1,1,1,2,1,1406,1,1,1,1,0,1,1,1,1,2,1,1404,1405,1,1,1,38,1,1,2,2,1,16,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,2,1,1,1,1,1,24,1,1,1,0,1,1405,1,1,38,1,1404,12,1,24,1,23,1404,1,1,1,1,1,2,1406,1406,1407,1,1,1407,1405,1,1405,38,49,0,3,1404,1,1,1,1
